序号,点位ID,点位名称 (中文),英文名称 (English),所属国家,地理位置 / 省市,经度 (Lng),纬度 (Lat),景观分类,点位意境与人文描述,核心特色标签,推荐BPM,音乐调式/律动,核心配器音色,自然声场采样,AI音乐生成提示词 (中文关键词),AI Music Prompt (English),Midjourney视觉提示词 (Visual Prompt),对照音乐曲名,音乐创作者/艺术家,音乐匹配类型,对应的音乐文件
37,wadirum,瓦迪拉姆 · 月亮峡谷,Wadi Rum Desert,约旦,约旦 · 亚喀巴省,35.4333,29.5734,浩瀚大漠 / 丝路遗迹,火星般的红色沙漠与高耸的砂岩巨石。贝都因人的帐篷在星空下静默，宛若置身科幻史诗电影中的异星世界。,火星地表、月亮峡谷、贝都因星夜、异星秘境,58,Sci-Fi Ambient · Phrygian Mode,中东达布卡柔拍 · 空间合成器长音 · 荒原风鸣,山间清风 / 微风拂过,异星沙漠电影原声氛围乐、神秘弗里吉亚调式、空间回响、静谧辽阔、BPM 58、Sci-Fi Ambient · Phrygian Mode、山间清风 / 微风拂过、高清无损立体声,"silk road world music, oud, duduk, middle eastern hand percussion, desert wind, mysterious, atmospheric journey, instrumental, no vocals, 58 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Wadi Rum Desert (瓦迪拉姆 · 月亮峡谷), 约旦 · 亚喀巴省, breathtaking view, 火星地表, 月亮峡谷, 贝都因星夜, 异星秘境, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",瓦迪拉姆 · 月亮峡谷,GeoMelody AI · 约旦,专属定制曲目,suno_037_wadirum.mp3
38,zhangjiajie,张家界 · 悬浮天子山,Zhangjiajie National Forest,中国,中国 · 湖南张家界,110.4348,29.3444,幽深森林 / 自然秘境,阿凡达潘多拉星球的原型。三千座石英砂岩峰林拔地而起，云雾缭绕在悬崖峭壁间，宛若悬浮于云海之上的仙界秘境。,潘多拉星球、悬浮峰林、云海仙境、百龙天梯,64,空灵五声羽调 · 432Hz,竹笛 · 竖琴泛音 · 云海清风 · 灵鸟啼鸣,晨曦鸟鸣 / 空山鸟语,张家界仙境竹笛与竖琴、云雾缭绕峰林、鸟鸣清脆、空灵悠扬纯音乐、BPM 64、空灵五声羽调 · 432Hz、晨曦鸟鸣 / 空山鸟语、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 64 BPM, morning bird singing, forest birds chirp, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Zhangjiajie National Forest (张家界 · 悬浮天子山), 中国 · 湖南张家界, breathtaking view, 潘多拉星球, 悬浮峰林, 云海仙境, 百龙天梯, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",张家界 · 悬浮天子山,GeoMelody AI · 中国,专属定制曲目,suno_038_zhangjiajie.mp3
39,jiuzhaigou,九寨沟 · 五彩童话森林,Jiuzhaigou Valley,中国,中国 · 四川阿坝,103.9186,33.26,幽深森林 / 自然秘境,九寨归来不看水。翠海、叠瀑、彩林与雪峰交相辉映，倒木沉于水底依然清晰可辨，五花海的池水在阳光下幻化出七彩光芒。,九寨童话、五彩池、诺日朗瀑布、水景之王,70,Pristine Nature · G Major,清脆木吉他指弹 · 溪流水滴 · 柔和弦乐,晨曦鸟鸣 / 空山鸟语,九寨沟五彩水景指弹木吉他、清泉石上流、鸟鸣山幽、晶莹剔透治愈乐、BPM 70、Pristine Nature · G Major、晨曦鸟鸣 / 空山鸟语、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 70 BPM, morning bird singing, forest birds chirp, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Jiuzhaigou Valley (九寨沟 · 五彩童话森林), 中国 · 四川阿坝, breathtaking view, 九寨童话, 五彩池, 诺日朗瀑布, 水景之王, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",九寨沟 · 五彩童话森林,GeoMelody AI · 中国,专属定制曲目,suno_039_jiuzhaigou.mp3
40,changbai,长白山 · 原始针叶林与瀑布,Changbai Mountain Forest,中国,中国 · 吉林延边,128.05,42,幽深森林 / 自然秘境,东北第一高峰下的茫茫林海。红松与白桦林遮天蔽日，温泉水在苔藓岩石间冒着白气，长白瀑布从天池缺口飞流直下。,原始林海、天池飞瀑、长白温泉、北国秘境,60,Boreal Ambient · D Major,清澈钢琴 · 原声大提琴 · 松涛林风,山间清风 / 微风拂过,长白山北国针叶林纯钢琴与大提琴、松涛阵阵、温泉雾气、深远沉静、BPM 60、Boreal Ambient · D Major、山间清风 / 微风拂过、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 60 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Changbai Mountain Forest (长白山 · 原始针叶林与瀑布), 中国 · 吉林延边, breathtaking view, 原始林海, 天池飞瀑, 长白温泉, 北国秘境, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",长白山 · 原始针叶林与瀑布,GeoMelody AI · 中国,专属定制曲目,suno_040_changbai.mp3
41,yakushima,屋久岛 · 幽灵公主苔藓森林,Yakushima Moss Forest,日本,日本 · 鹿儿岛县,130.5286,30.3585,幽深森林 / 自然秘境,宫崎骏《幽灵公主》的取景地。数千年的古老绳文杉矗立在翠绿的苔藓地毯中，雨露晶莹，空气中弥漫着古老生命的芬芳。,幽灵公主、千年绳文杉、苔藓王国、森林浴,58,Ghibli Style · C Major,纯净钢琴独奏 · 雨滴落在绿叶上 · 林间风响,烟雨滴檐 / 细雨淅淅,吉卜力宫崎骏风治愈钢琴、屋久岛绿意苔藓、细雨落在树叶、静心专注、BPM 58、Ghibli Style · C Major、烟雨滴檐 / 细雨淅淅、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 58 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Yakushima Moss Forest (屋久岛 · 幽灵公主苔藓森林), 日本 · 鹿儿岛县, breathtaking view, 幽灵公主, 千年绳文杉, 苔藓王国, 森林浴, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",屋久岛 · 幽灵公主苔藓森林,GeoMelody AI · 日本,专属定制曲目,suno_041_yakushima.mp3
42,blackforest,德国黑森林 · 咕咕鸟谷,Black Forest (Schwarzwald),德国,德国 · 巴登-符腾堡州,8.2,48.15,幽深森林 / 自然秘境,格林童话的发源地。浓密的冷杉与云杉林遮天蔽日，晨雾在林间小径流淌，溪流穿过木屋与水车，洋溢着古老欧陆的静谧。,格林童话、冷杉幽径、咕咕钟故乡、欧陆森林,66,Celtic Folk · D Major,爱尔兰风笛 · 凯尔特竖琴 · 森林微风,晨曦鸟鸣 / 空山鸟语,德国黑森林凯尔特竖琴与风笛、阳光穿透树冠、鸟鸣花香、安逸宁静、BPM 66、Celtic Folk · D Major、晨曦鸟鸣 / 空山鸟语、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 66 BPM, morning bird singing, forest birds chirp, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Black Forest (Schwarzwald) (德国黑森林 · 咕咕鸟谷), 德国 · 巴登-符腾堡州, breathtaking view, 格林童话, 冷杉幽径, 咕咕钟故乡, 欧陆森林, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",德国黑森林 · 咕咕鸟谷,GeoMelody AI · 德国,专属定制曲目,suno_042_blackforest.mp3
43,amazon,亚马逊雨林 · 地球之肺,Amazon Rainforest,巴西,巴西 · 亚马逊州,-62.2159,-3.4653,幽深森林 / 自然秘境,地球上最庞大的生命剧场。庞大的水系在茂密雨林中蜿蜒流淌，暴雨洗刷着巨大的王莲，各种热带生物的声音汇成自然的交响。,地球之肺、生物大本营、热带暴雨、原始秘境,60,Organic Tribal Ambient,木制打击乐 · 排箫 · 真实热带雨声 · 昆虫共鸣,烟雨滴檐 / 细雨淅淅,亚马逊热带雨林自然白噪音与排箫、密林暴雨滴落、生命律动、深度白噪音、BPM 60、Organic Tribal Ambient、烟雨滴檐 / 细雨淅淅、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 60 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Amazon Rainforest (亚马逊雨林 · 地球之肺), 巴西 · 亚马逊州, breathtaking view, 地球之肺, 生物大本营, 热带暴雨, 原始秘境, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",澳大利亚悉尼歌剧院与海港大桥,GeoMelody AI · 澳大利亚,分类意境伴奏,suno_094_sydneyoperahouse.mp3
44,redwood,加州红杉国家公园,Redwood National and State Parks,美国,美国 · 加利福尼亚州,-124.0046,41.2132,幽深森林 / 自然秘境,地球上最高大的树木在此矗立了数千年。太平洋的晨雾在几百米高的巨树冠间游荡，阳光形成壮丽的丁达尔圣光。,千年巨杉、丁达尔光、太平洋海雾、远古崇高,56,Ambient Drone · E Major,原声大提琴长弓 · 温暖铜管音垫 · 雾气清风,山间清风 / 微风拂过,加州巨杉林崇高氛围音乐、温暖弦乐铺底、丁达尔光芒洒落、神圣宁静、BPM 56、Ambient Drone · E Major、山间清风 / 微风拂过、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 56 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Redwood National and State Parks (加州红杉国家公园), 美国 · 加利福尼亚州, breathtaking view, 千年巨杉, 丁达尔光, 太平洋海雾, 远古崇高, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",加州红杉国家公园,GeoMelody AI · 美国,专属定制曲目,suno_044_redwood.mp3
45,plitvice,普利特维采湖群 · 欧洲十六湖,Plitvice Lakes National Park,克罗地亚,克罗地亚 · 利卡-塞尼县,15.6044,44.8654,幽深森林 / 自然秘境,石灰华沉积形成的梯级湖泊与飞瀑群。木栈道蜿蜒穿过碧绿与湖蓝交织的水面，水雾弥漫在原始山林之间。,欧洲九寨沟、瀑布群、梯级绿湖、木栈道漫步,68,Balkan Acoustic · A Minor,手风琴 · 尼龙吉他 · 瀑布飞溅声 · 森林鸟鸣,晨曦鸟鸣 / 空山鸟语,欧洲森林瀑布群舒缓纯乐、吉他与风琴、流水潺潺飞瀑、自然疗愈、BPM 68、Balkan Acoustic · A Minor、晨曦鸟鸣 / 空山鸟语、高清无损立体声,"healing nature ambient, acoustic guitar fingerstyle, bird song, wind chimes, lush green forest, zen meditation, instrumental, no vocals, 68 BPM, morning bird singing, forest birds chirp, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Plitvice Lakes National Park (普利特维采湖群 · 欧洲十六湖), 克罗地亚 · 利卡-塞尼县, breathtaking view, 欧洲九寨沟, 瀑布群, 梯级绿湖, 木栈道漫步, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,专属定制曲目,suno_045_plitvice.mp3
46,shanghai,上海外滩 · 浦江陆家嘴,The Bund & Lujiazui Skyline,中国,中国 · 上海黄浦,121.49,31.24,都会风情 / 人文地标,万国建筑博览群与东方明珠、上海中心隔江相望。夜色降临，黄浦江游轮穿梭，流光溢彩的摩天大楼编织着摩登魔都的不眠夜。,摩登魔都、陆家嘴天际线、浦江两岸、霓虹不夜城,78,Lo-Fi Jazz · F Minor,电钢琴EP · 萨克斯柔音 · 城市雨声 · 磁带黑胶底噪,烟雨滴檐 / 细雨淅淅,上海魔都夜景Lo-Fi Jazz HipHop、柔滑电钢琴和弦、雨夜霓虹、放松专注、BPM 78、Lo-Fi Jazz · F Minor、烟雨滴檐 / 细雨淅淅、高清无损立体声,"lo-fi chillhop, jazzy piano chords, mellow synth pads, urban coffee shop vibe, nostalgic, smooth groove, instrumental, no vocals, 78 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of The Bund & Lujiazui Skyline (上海外滩 · 浦江陆家嘴), 中国 · 上海黄浦, breathtaking view, 摩登魔都, 陆家嘴天际线, 浦江两岸, 霓虹不夜城, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",上海外滩 · 浦江陆家嘴,GeoMelody AI · 中国,专属定制曲目,suno_046_shanghai.mp3
47,chongqing,重庆洪崖洞 · 8D魔幻山城,Chongqing Hongyadong,中国,中国 · 重庆渝中,106.577,29.563,都会风情 / 人文地标,依嘉陵江悬崖而建的重檐吊脚楼，千厮门大桥如金色长虹横跨江面。夜晚华灯初上，宛若现实版千与千寻的魔幻世界。,千与千寻、8D魔幻山城、洪崖滴翠、赛博朋克,82,Cyberpunk Chill · C Minor,合成波Synth · 二胡电子音色 · 江边微浪,烟雨滴檐 / 细雨淅淅,重庆赛博朋克国风电子、二胡与合成器结合、魔幻山城雨夜、千与千寻既视感、BPM 82、Cyberpunk Chill · C Minor、烟雨滴檐 / 细雨淅淅、高清无损立体声,"lo-fi chillhop, jazzy piano chords, mellow synth pads, urban coffee shop vibe, nostalgic, smooth groove, instrumental, no vocals, 82 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Chongqing Hongyadong (重庆洪崖洞 · 8D魔幻山城), 中国 · 重庆渝中, breathtaking view, 千与千寻, 8D魔幻山城, 洪崖滴翠, 赛博朋克, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",撒哈拉沙漠 · 星空之夜,GeoMelody AI · 摩洛哥,分类意境伴奏,suno_035_sahara.mp3
48,hongkong,香港维多利亚港 · 太平山顶,Victoria Harbour & The Peak,中国,中国 · 香港中环,114.1588,22.28,都会风情 / 人文地标,世界三大夜景之首。天星小轮划破倒映着璀璨霓虹的港湾，中环与尖沙咀的摩天巨楼交相辉映，港风往事如电影慢镜头回放。,维港夜景、天星小轮、经典港风、东方之珠,76,City Pop Chill · A Minor,复古电吉他 · 柔美合成器 · 维港海浪微音,环境声场,香港维港夜色CityPop纯音乐、复古电吉他扫弦、霓虹倒影、怀旧温暖、BPM 76、City Pop Chill · A Minor、环境声场、高清无损立体声,"lo-fi chillhop, jazzy piano chords, mellow synth pads, urban coffee shop vibe, nostalgic, smooth groove, instrumental, no vocals, 76 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Victoria Harbour & The Peak (香港维多利亚港 · 太平山顶), 中国 · 香港中环, breathtaking view, 维港夜景, 天星小轮, 经典港风, 东方之珠, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",上海外滩 · 浦江陆家嘴,GeoMelody AI · 中国,分类意境伴奏,suno_046_shanghai.mp3
49,tokyo,东京涩谷 · 新宿歌舞伎町,Tokyo Shibuya & Shinjuku Night,日本,日本 · 东京,139.7005,35.6595,都会风情 / 人文地标,全世界最繁忙的十字路口，雨夜的地面反射着漫天霓虹与巨幅广告屏幕。透明雨伞下的人流川流不息，独享喧嚣中的内心孤独。,涩谷十字路口、雨夜霓虹、东京塔远眺、独处治愈,80,Tokyo Lo-Fi Beat · D Minor,电钢琴EP · 慢速鼓点 · 雨点打在雨伞声 · 黑胶唱片爆音,烟雨滴檐 / 细雨淅淅,东京雨夜Lo-Fi Beats、舒缓电钢琴、雨声伴奏、黑胶质感、深夜办公专注、BPM 80、Tokyo Lo-Fi Beat · D Minor、烟雨滴檐 / 细雨淅淅、高清无损立体声,"lo-fi chillhop, jazzy piano chords, mellow synth pads, urban coffee shop vibe, nostalgic, smooth groove, instrumental, no vocals, 80 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Tokyo Shibuya & Shinjuku Night (东京涩谷 · 新宿歌舞伎町), 日本 · 东京, breathtaking view, 涩谷十字路口, 雨夜霓虹, 东京塔远眺, 独处治愈, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",东京涩谷 · 新宿歌舞伎町,GeoMelody AI · 日本,专属定制曲目,suno_049_tokyo.mp3
50,paris,巴黎塞纳河畔 · 埃菲尔铁塔,Paris Seine & Eiffel Tower,法国,法国 · 巴黎,2.2945,48.8584,都会风情 / 人文地标,铁塔在整点闪烁着漫天金色星光。塞纳河下游船缓缓驶过亚历山大三世桥，岸边情侣依偎在街灯下，弥漫着永恒的法式浪漫。,光之城、铁塔星光、塞纳河游船、极致浪漫,72,French Cafe Chanson · C Major,手风琴微音 · 清水钢琴 · 塞纳河水流声,山间清风 / 微风拂过,巴黎塞纳河手风琴与法式钢琴纯乐、街头咖啡馆雨滴、浪漫惬意、午后甜点、BPM 72、French Cafe Chanson · C Major、山间清风 / 微风拂过、高清无损立体声,"lo-fi chillhop, jazzy piano chords, mellow synth pads, urban coffee shop vibe, nostalgic, smooth groove, instrumental, no vocals, 72 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Paris Seine & Eiffel Tower (巴黎塞纳河畔 · 埃菲尔铁塔), 法国 · 巴黎, breathtaking view, 光之城, 铁塔星光, 塞纳河游船, 极致浪漫, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",上海外滩 · 浦江陆家嘴,GeoMelody AI · 中国,分类意境伴奏,suno_046_shanghai.mp3
51,newyork,纽约曼哈顿 · 洛克菲勒顶峰夜色,New York Manhattan Skyline,美国,美国 · 纽约曼哈顿,-73.9787,40.7587,都会风情 / 人文地标,帝国大厦与世贸中心高耸入云，无数网格状街道在脚下化作金色光带。世界十字路口的繁华尽收眼底，感受现代文明的澎湃脉搏。,曼哈顿天际线、帝国大厦、不夜之城、时代广场,85,Smooth Jazz · B Flat,低音提琴行走低音 · 柔音小号 · 远处车流微音,烟雨滴檐 / 细雨淅淅,纽约曼哈顿午夜爵士、柔和小号独奏、行走低音提琴、都市雨夜、深度思考、BPM 85、Smooth Jazz · B Flat、烟雨滴檐 / 细雨淅淅、高清无损立体声,"lo-fi chillhop, jazzy piano chords, mellow synth pads, urban coffee shop vibe, nostalgic, smooth groove, instrumental, no vocals, 85 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of New York Manhattan Skyline (纽约曼哈顿 · 洛克菲勒顶峰夜色), 美国 · 纽约曼哈顿, breathtaking view, 曼哈顿天际线, 帝国大厦, 不夜之城, 时代广场, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",纽约曼哈顿 · 洛克菲勒顶峰夜色,GeoMelody AI · 美国,专属定制曲目,suno_051_newyork.mp3
52,westlake,杭州西湖 · 断桥残雪与苏堤春晓,Hangzhou West Lake,中国,中国 · 浙江杭州,120.145,30.2435,宁静湖泊 / 高原圣湖,水光潋滟晴方好，山色空蒙雨亦奇。苏堤杨柳依依，三潭印月水波微泛，撑一把油纸伞漫步湖畔，千年诗意尽在此间。,断桥残雪、苏堤春晓、三潭印月、人间天堂,66,西湖越调五声 · 432Hz,古筝 · 洞箫 · 湖水拍堤 · 净慈寺晚钟,古刹钟声 / 远山清钟,杭州西湖古典纯乐、古筝与洞箫、南屏晚钟、细雨落在湖面荷叶、极度治愈、BPM 66、西湖越调五声 · 432Hz、古刹钟声 / 远山清钟、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 66 BPM, distant temple bell toll, meditation chime, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Hangzhou West Lake (杭州西湖 · 断桥残雪与苏堤春晓), 中国 · 浙江杭州, breathtaking view, 断桥残雪, 苏堤春晓, 三潭印月, 人间天堂, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
53,qinghai,青海湖 · 高原蓝宝石与油菜花海,Qinghai Lake & Rapeseed Flowers,中国,中国 · 青海海北,100.2244,36.8856,宁静湖泊 / 高原圣湖,中国最大的内陆咸水湖。金黄的万亩油菜花田铺展在湛蓝如宝石的高原湖畔，远处雪山静卧，天水一色辽阔无垠。,高原蓝宝石、油菜花海、环湖公路、天空之境,62,Tibetan Plateau Folk · D Major,扎木念琴 · 空灵女声氛围音 · 高原清风,山间清风 / 微风拂过,青海湖藏族空灵民谣氛围曲、纯净辽阔、湛蓝湖水微波、抚平心境、BPM 62、Tibetan Plateau Folk · D Major、山间清风 / 微风拂过、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 62 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Qinghai Lake & Rapeseed Flowers (青海湖 · 高原蓝宝石与油菜花海), 中国 · 青海海北, breathtaking view, 高原蓝宝石, 油菜花海, 环湖公路, 天空之境, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
54,lugu,泸沽湖 · 摩梭女儿国,Lugu Lake & Mosuo Culture,中国,中国 · 云南/四川交界,100.75,27.7083,宁静湖泊 / 高原圣湖,格姆女神山庇护下的清澈湖泊，湖面上盛开着星星点点的水性杨花。猪槽船在水草间穿行，摩梭人悠扬的歌声在碧波上荡漾。,水性杨花、猪槽船、东方女儿国、宁静避世,68,摩梭山歌调 · E Major,木吉他 · 竹笛 · 划桨水声 · 晨雾微响,环境声场,泸沽湖晨曦纯音乐、划桨水声、竹笛悠扬、微风拂过水性杨花、恬静优雅、BPM 68、摩梭山歌调 · E Major、环境声场、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 68 BPM, natural ambient soundscape, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Lugu Lake & Mosuo Culture (泸沽湖 · 摩梭女儿国), 中国 · 云南/四川交界, breathtaking view, 水性杨花, 猪槽船, 东方女儿国, 宁静避世, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
55,chaka,茶卡盐湖 · 中国天空之镜,Chaka Salt Lake,中国,中国 · 青海乌兰,99.0767,36.7028,宁静湖泊 / 高原圣湖,白茫茫的结晶盐层上覆盖着薄薄水层，如一面巨镜倒映出瓦蓝的天空与朵朵白云。漫步其中，宛如行走在天际云端。,天空之镜、盐湖小火车、云端漫步、纯白梦境,58,Crystal Ambient · 528Hz,水晶音乐盒 · 极简钢琴音符 · 天空风声,山间清风 / 微风拂过,天空之镜晶莹纯音、水晶音符与极简钢琴、纯净白云、灵魂洗涤、静心、BPM 58、Crystal Ambient · 528Hz、山间清风 / 微风拂过、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 58 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Chaka Salt Lake (茶卡盐湖 · 中国天空之镜), 中国 · 青海乌兰, breathtaking view, 天空之镜, 盐湖小火车, 云端漫步, 纯白梦境, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
56,guilin,桂林阳朔 · 漓江烟雨遇龙河,Guilin Yangshuo & Li River,中国,中国 · 广西桂林,110.495,24.7797,宁静湖泊 / 高原圣湖,桂林山水甲天下，阳朔堪称甲桂林。喀斯特群峰倒映在清澈见底的漓江中，竹筏顺流漂过二十元人民币取景地，烟雨朦胧宛如仙境。,漓江竹筏、喀斯特峰林、烟雨山水、甲天下美景,66,漓江清音 · 五声角调,竹笛 · 渔舟唱晚古筝 · 撑篙水声 · 鸬鹚捕鱼,烟雨滴檐 / 细雨淅淅,桂林山水漓江烟雨笛箫纯乐、古筝流水、竹筏荡漾、诗情画意、BPM 66、漓江清音 · 五声角调、烟雨滴檐 / 细雨淅淅、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 66 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Guilin Yangshuo & Li River (桂林阳朔 · 漓江烟雨遇龙河), 中国 · 广西桂林, breathtaking view, 漓江竹筏, 喀斯特峰林, 烟雨山水, 甲天下美景, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",普利特维采湖群 · 欧洲十六湖,GeoMelody AI · 克罗地亚,分类意境伴奏,suno_045_plitvice.mp3
57,baikal,贝加尔湖 · 蓝冰与西伯利亚的眼泪,Lake Baikal & Blue Ice,俄罗斯,俄罗斯 · 西伯利亚,108.165,53.5587,宁静湖泊 / 高原圣湖,世界上最深、最清澈的古老湖泊。冬季湖面冻结成深邃透亮的蓝冰，纵横交错的冰裂纹如艺术品般延伸至地平线，宛如纯净的水晶宫。,西伯利亚蓝冰、冰裂奇观、世界最深湖、李健歌声里的湖,54,Siberian Melancholy · A Minor,原声大提琴独奏 · 冰裂共鸣 · 远方呼啸寒风,山间清风 / 微风拂过,贝加尔湖大提琴独奏纯乐、深沉优美、李健贝加尔湖畔意境、冰雪与深蓝、BPM 54、Siberian Melancholy · A Minor、山间清风 / 微风拂过、高清无损立体声,"crystal clear piano, ambient reverb pads, tranquil lake reflection, gentle acoustic strings, deep relaxation, 432hz, instrumental, no vocals, 54 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Lake Baikal & Blue Ice (贝加尔湖 · 蓝冰与西伯利亚的眼泪), 俄罗斯 · 西伯利亚, breathtaking view, 西伯利亚蓝冰, 冰裂奇观, 世界最深湖, 李健歌声里的湖, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field",白川乡合掌村,GeoMelody AI · 日本,分类意境伴奏,suno_011_shirakawago.mp3
